;yearmonth;code;hour;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month
15;200008;RJ;1150;0.0634768740031898;1015.681499202552;1023.8;1001.7;1213.551282051282;20.754385964912284;14.555821371610849;37.2;9.8;19.7;6.9;74.71086261980831;68.85463258785943;71.79106858054226;-1408.396505376344;5.466826923076924;2.4266347687400325;2000;8
16;200009;AM;1150;0.2837278106508875;1003.5056213017746;1008.8;998.5;1599.811428571429;27.20857988165682;22.730325443786963;35.1;21.3;25.5;19.3;81.0725925925926;75.08444444444444;78.07692307692308;-482.3388888888889;4.058666666666666;1.1655325443786997;2000;9
17;200009;BA;1150;;;;;;;;;;;;;;;-9999.0;;;2000;9
18;200009;DF;1150;0.11206106870229;887.5635114503815;892.6;883.2;1697.3476923076923;21.478015267175564;13.077099236641226;31.4;14.8;19.0;3.0;65.36391437308869;59.43119266055046;62.494656488549616;-1063.6263888888889;5.937578616352202;3.067767295597483;2000;9
19;200009;RJ;1150;0.0768211920529801;1014.4120860927168;1025.1;1002.4;1239.4797507788162;22.133774834437094;17.2064569536424;35.3;14.9;22.2;12.3;78.35761589403974;73.9271523178808;76.17549668874172;-1476.2708333333333;5.317391304347824;2.474999999999999;2000;9
20;200009;RS;1150;0.2443396226415094;1015.358490566037;1026.9;999.4;1558.982905982906;15.814150943396225;10.12264150943396;27.2;6.9;18.5;-2.3;74.79245283018868;67.87264150943396;71.36792452830188;-37.657407407407405;4.969339622641511;1.8127358490566037;2000;9
21;200010;AM;1150;0.0871886120996441;1003.2948398576508;1008.9;997.6;1517.8389261744967;26.889679715302524;23.21387900355874;34.1;21.8;26.4;19.6;84.41281138790036;78.38434163701068;81.41281138790036;-2320.42876344086;3.135231316725978;1.1177935943060495;2000;10
22;200010;BA;1150;0.0079239302694136;;1015.0;1004.3;1788.2622478386168;25.65594294770203;20.82250396196514;30.5;22.1;24.3;17.3;77.27777777777777;72.73650793650793;75.07765451664025;-1626.6478494623657;6.0394822006472495;2.202917341977308;2000;10
23;200010;DF;1150;0.2838709677419354;886.957392473119;892.0;881.4;1640.4082125603866;23.34139784946239;12.461962365591411;32.2;15.7;19.4;2.8;57.81989247311828;51.32392473118279;54.45967741935484;141.84005376344086;5.029435483870967;2.430510752688177;2000;10
24;200010;RJ;1150;0.0766129032258064;1011.3446236559143;1018.3;1001.5;1381.9384236453202;24.33897849462364;19.973924731182795;38.2;17.2;23.9;13.2;81.02822580645162;75.9274193548387;78.52016129032258;186.01209677419357;4.94099462365591;2.409005376344086;2000;10
25;200010;RS;1150;0.1974395448079658;1010.1597439544812;1020.8;998.7;1144.1133004926107;19.27638691322901;15.22660028449502;32.0;9.9;21.7;3.6;81.41310541310541;76.53561253561253;78.9701280227596;-413.69220430107526;6.062678062678063;2.3172119487908973;2000;10
26;200011;AM;1150;0.2567375886524822;1001.3258156028378;1007.2;995.0;1541.058981233244;27.218439716312112;23.27276595744683;34.2;20.8;27.6;19.7;83.16216216216216;77.01137980085349;80.15602836879432;-98.20694444444445;3.4041251778093864;1.2436879432624122;2000;11
27;200011;BA;1150;0.1061111111111111;;1012.2;998.5;1680.8066157760811;26.05166666666667;21.831944444444435;31.8;21.6;24.4;17.5;80.18194444444444;75.86527777777778;78.09444444444445;99.5513888888889;5.6895833333333306;2.0315277777777783;2000;11
28;200011;DF;1150;0.3054698457222999;884.5509116409551;890.1;878.3;1200.9853300733496;20.52692847124824;17.003786816269276;28.6;16.2;20.0;9.5;84.61657303370787;78.80337078651685;81.81065918653576;87.13333333333334;5.292977528089883;2.5405329593267902;2000;11
29;200011;RJ;1150;0.2338888888888889;1008.542777777778;1015.4;998.4;1332.1328502415458;24.4036111111111;19.928055555555552;36.0;17.4;23.8;14.8;80.26666666666667;75.1361111111111;77.75138888888888;177.4736111111111;4.798194444444443;2.160694444444446;2000;11
30;200011;RS;1150;0.191111111111111;1007.3965277777786;1015.9;996.7;1504.2232558139535;21.07583333333333;15.182777777777796;36.2;10.7;23.3;0.5;74.44722222222222;68.40416666666667;71.50555555555556;143.0402777777778;5.817638888888891;2.215277777777778;2000;11
