state;month_x;number;id;code;precipitation;pressure;max_preasure;min_preasure;radiation;temperature;dew_point;max_temperature;min_temperature;max_dew_point;min_dew_point;max_humidity;min_humidity;humidity;wind_direction;wind_gust;wind_speed;year;month_y
Alagoas;Setembro;18.0;AL201609;AL;0.0326259268729225;1004.4161042944752;1019.4;979.0;1600.173241379311;25.349284253578755;18.63901563701618;37.8;17.2;25.7;-9.1;72.37186058431574;66.98844969199179;69.7245447550654;-834.455787037037;5.711247443762776;2.481339468302654;2016;9
Alagoas;Setembro;4.0;AL201709;AL;0.1147744945567647;1003.725076452596;1020.6;980.3;1395.4598337950156;23.33885976408921;19.004526558891506;32.8;16.5;25.1;-3.3;80.86652787416146;74.84501503585473;77.97759815242495;118.50632635253054;5.621909130624715;2.124311926605504;2017;9
Alagoas;Outubro;10.0;AL200310;AL;0.1158602150537635;1004.5927419354826;1007.7;1000.9;19846.775061124696;24.943682795698905;20.124731182795696;30.6;19.9;24.1;11.8;78.6747311827957;73.05510752688173;75.96236559139786;120.52284946236558;5.611021505376346;2.800537634408601;2003;10
Alagoas;Outubro;12.0;AL200410;AL;0.0514824797843665;1004.3013477088948;1007.9;1000.0;313.40318302387266;25.98814016172505;21.236927223719675;35.8;18.5;29.6;16.7;79.1644204851752;73.80592991913747;76.5121293800539;67.2002688172043;5.769541778975735;2.9652291105121305;2004;10
Alagoas;Outubro;17.0;AL200510;AL;0.0475920679886685;1005.0490084985838;1009.7;999.9;21402.346354166668;25.12847025495752;19.91798866855524;31.8;20.3;22.8;15.6;76.6756373937677;71.26628895184136;74.08356940509915;-416.6639784946237;6.00325779036827;3.1107648725212487;2005;10
Alagoas;Outubro;32.0;AL200610;AL;0.0946091644204851;1003.884905660378;1008.8;998.4;1695.597283950617;25.128032345013487;21.912533692722395;32.5;20.2;24.3;17.1;85.9298245614035;80.97975708502024;83.59568733153638;59.63306451612903;5.954312668463611;3.0500000000000025;2006;10
Alagoas;Outubro;6.0;AL200710;AL;0.0166890982503364;997.2261776581436;1017.5;976.4;1736.351985111665;25.125639300134587;18.448654104979788;36.9;16.8;22.2;12.3;72.51547779273217;66.64670255720054;69.61305518169583;-3271.8405017921145;6.386810228802156;3.0427321668909824;2007;10
Alagoas;Outubro;18.0;AL200810;AL;0.0589157706093189;1001.4828181003584;1016.8;978.1;1402.039020878329;25.075156810035875;19.95051523297488;37.4;17.9;24.2;11.8;78.22715053763442;72.44825268817205;75.40501792114695;122.72916666666669;6.05396505376343;2.7893369175627147;2008;10
Alagoas;Outubro;30.0;AL200910;AL;0.0145814167433302;998.9964129684984;1016.8;974.8;1212.2235784459654;26.2661913523458;19.87732812140721;39.9;17.9;26.0;9.7;73.21545182800644;67.88779029661991;70.62635088526098;-156.375;6.317222349965509;2.8427255985266995;2009;10
Alagoas;Outubro;16.0;AL201010;AL;0.0890232974910393;999.77542562724;1016.9;975.1;1098.813018266165;25.500425627240134;20.492271505376426;38.5;17.6;24.9;4.6;78.43189964157706;73.36693548387096;75.9655017921147;121.35103046594982;5.383893369175614;2.3368503584229297;2010;10
Alagoas;Outubro;23.0;AL201110;AL;0.0449583221296047;999.3167824333412;1016.5;974.5;1269.224631646382;25.20730450369708;20.208469639256087;37.6;17.2;25.5;11.8;78.50840241989692;73.32242885951153;75.98767645081783;109.17562724014336;5.519919336768986;2.395966838449473;2011;10
Alagoas;Outubro;28.0;AL201210;AL;0.0466845878136199;1001.204816308243;1017.7;975.9;1409.6440476190485;24.70638440860212;19.36032706093183;38.6;17.7;24.4;11.6;76.98655913978494;71.55891577060932;74.34274193548387;116.1836917562724;5.769937275985657;2.385909498207883;2012;10
Alagoas;Outubro;25.0;AL201310;AL;0.1906299036090566;1001.2743951612894;1017.2;977.7;1617.4858770858816;25.004771505376308;20.06261200716846;38.9;18.1;31.1;9.5;78.88933691756273;73.63060035842294;76.32638888888889;117.93189964157706;6.048700716845871;2.684005376344093;2013;10
